,0,10
4647,Ir,アイアール
4709,IH,アイエイチ
4993,藍絣,アイカスリ
5025,相懸かり,アイガカリ
5050,相客,アイキャク
5053,相給,アイキュウ
5057,iQ,アイキュー
5069,愛郷,アイキョウ
5121,合い薬,アイグスリ
5173,合言葉,アイコトバ
5306,愛執,アイシュウ
5319,相性,アイショウ
5342,Icing,アイシング
5418,愛銃,アイジュウ
5422,愛情,アイジョウ
5424,合印,アイジルシ
5466,アイスマン,アイスマン
5675,間柄,アイダガラ
5676,間食い,アイダグイ
5677,間事,アイダゴト
5719,愛着,アイチャク
5724,愛鳥,アイチョウ
5778,IT,アイティー
5829,IDEA,アイディア
5846,id,アイディー
5882,アイデント,アイデント
5902,アイドース,アイドース
5937,藍鼠,アイネズミ
6008,アイパッチ,アイパッチ
6038,愛瓢,アイビョウ
6124,アイブロー,アイブロー
6139,アイホール,アイホール
6146,アイヴォリー,アイボリー
6147,アイボルト,アイボルト
6258,ISLAND,アイランド
6298,アイレット,アイレット
6314,イロニー,アイロニー
6594,アウェイク,アウェイク
6663,アウトカム,アウトカム
6673,アウトドアー,アウトドア
6699,アウトロー,アウトロー
6760,アウンミエー,アウンミエ
6829,喘ぎ声,アエギゴエ
6893,和え衣,アエゴロモ
7118,青嵐,アオアラシ
7187,葵草,アオイグサ
7192,青磯蚯蚓,アオイソメ
7213,青漆,アオウルシ
7226,青懸巣,アオカケス
7229,青葛,アオカズラ
7240,青被り,アオカブリ
7248,青蛙,アオガエル
7261,青霞,アオガスミ
7284,アオキガメ,アオキガメ
7355,青狐,アオギツネ
7488,青臭み,アオクサミ
7682,青魚,アオザカナ
7805,青印,アオジルシ
7897,青簾,アオスダレ
7933,青そこひ,アオソコヒ
7958,青畳,アオダタミ
7962,青酎,アオチュウ
7968,青鞭草,アオツヅラ
7981,青蜥蜴,アオトカゲ
7983,青鶏冠,アオトサカ
7984,青トビラ,アオトビラ
7988,青海鼠,アオナマコ
7996,青二才,アオニサイ
8010,青鼠,アオネズミ
8121,青光り,アオビカリ
8128,青膨れ,アオブクレ
8191,青霙,アオミゾレ
8193,青緑,アオミドリ
8197,青味泥,アオミドロ
8376,青紅葉,アオモミジ
8400,青柳,アオヤナギ
8418,障泥烏賊,アオリイカ
8420,障泥板,アオリイタ
8483,アオリスト,アオリスト
8681,赤小豆,アカアズキ
8884,赤甍,アカイラカ
8893,赤鰯,アカイワシ
8904,赤漆,アカウルシ
8915,account,アカウント
8938,垢落とし,アカオトシ
8939,赤縅,アカオドシ
8947,赤下ろし,アカオロシ
8949,赤酸醤,アカカガチ
8966,赤叺,アカカマス
8973,赤蛙,アカガエル
8991,赤鰈,アカガレイ
8998,赤瓦,アカガワラ
9015,赤牛,アカギュウ
9026,赤ぐすみ,アカクスミ
9032,赤水母,アカクラゲ
9040,赤車,アカグルマ
9103,赤ゲット,アカゲット
9109,赤麹,アカコウジ
9126,赤大角豆,アカササゲ
9167,藜海老,アカザエビ
9242,アカシジア,アカシジア
9244,赤小灰,アカシジミ
9302,アカシック,アカシック
9327,赤砂利,アカジャリ
9330,赤標,アカジルシ
9425,赤酸塊,アカスグリ
9448,赤備え,アカゾナエ
9452,赤揃え,アカゾロエ
9457,赤卵,アカタマゴ
9467,赤襷,アカダスキ
9547,赤ちゃーん,アカチャン
9584,赤作り,アカツクリ
9588,赤椿,アカツバキ
9598,アカデミア,アカデミア
9610,Academy,アカデミー
9615,赤鶏冠,アカトサカ
9617,赤扉,アカトビラ
9619,赤鳥居,アカトリイ
9623,赤蜻蛉,アカトンボ
9639,赤棗,アカナツメ
9643,赤海鼠,アカナマコ
9646,赤面皰,アカニキビ
9654,赤鰊,アカニシン
9733,茜色,アカネイロ
9735,茜雲,アカネグモ
9740,赤鼠,アカネズミ
9741,茜染め,アカネゾメ
9743,茜空,アカネゾラ
9768,赤裸,アカハダカ
9786,赤袴,アカバカマ
