Ir,アイアール
IH,アイエイチ
藍絣,アイカスリ
相懸かり,アイガカリ
相客,アイキャク
相給,アイキュウ
iQ,アイキュー
愛郷,アイキョウ
合い薬,アイグスリ
合言葉,アイコトバ
愛執,アイシュウ
相性,アイショウ
Icing,アイシング
愛銃,アイジュウ
愛情,アイジョウ
合印,アイジルシ
アイスマン,アイスマン
間柄,アイダガラ
間食い,アイダグイ
間事,アイダゴト
愛着,アイチャク
愛鳥,アイチョウ
IT,アイティー
IDEA,アイディア
id,アイディー
アイデント,アイデント
アイドース,アイドース
藍鼠,アイネズミ
アイパッチ,アイパッチ
愛瓢,アイビョウ
アイブロー,アイブロー
アイホール,アイホール
アイヴォリー,アイボリー
アイボルト,アイボルト
ISLAND,アイランド
アイレット,アイレット
イロニー,アイロニー
アウェイク,アウェイク
アウトカム,アウトカム
アウトドアー,アウトドア
アウトロー,アウトロー
アウンミエー,アウンミエ
喘ぎ声,アエギゴエ
和え衣,アエゴロモ
青嵐,アオアラシ
葵草,アオイグサ
青磯蚯蚓,アオイソメ
青漆,アオウルシ
青懸巣,アオカケス
青葛,アオカズラ
青被り,アオカブリ
青蛙,アオガエル
青霞,アオガスミ
アオキガメ,アオキガメ
青狐,アオギツネ
青臭み,アオクサミ
青魚,アオザカナ
青印,アオジルシ
青簾,アオスダレ
青そこひ,アオソコヒ
青畳,アオダタミ
青酎,アオチュウ
青鞭草,アオツヅラ
青蜥蜴,アオトカゲ
青鶏冠,アオトサカ
青トビラ,アオトビラ
青海鼠,アオナマコ
青二才,アオニサイ
青鼠,アオネズミ
青光り,アオビカリ
青膨れ,アオブクレ
青霙,アオミゾレ
青緑,アオミドリ
青味泥,アオミドロ
青紅葉,アオモミジ
青柳,アオヤナギ
障泥烏賊,アオリイカ
障泥板,アオリイタ
アオリスト,アオリスト
赤小豆,アカアズキ
赤甍,アカイラカ
赤鰯,アカイワシ
赤漆,アカウルシ
account,アカウント
垢落とし,アカオトシ
赤縅,アカオドシ
赤下ろし,アカオロシ
赤酸醤,アカカガチ
赤叺,アカカマス
赤蛙,アカガエル
赤鰈,アカガレイ
赤瓦,アカガワラ
赤牛,アカギュウ
赤ぐすみ,アカクスミ
赤水母,アカクラゲ
赤車,アカグルマ
赤ゲット,アカゲット
赤麹,アカコウジ
赤大角豆,アカササゲ
藜海老,アカザエビ
アカシジア,アカシジア
赤小灰,アカシジミ
アカシック,アカシック
赤砂利,アカジャリ
赤標,アカジルシ
赤酸塊,アカスグリ
赤備え,アカゾナエ
赤揃え,アカゾロエ
赤卵,アカタマゴ
赤襷,アカダスキ
赤ちゃーん,アカチャン
赤作り,アカツクリ
赤椿,アカツバキ
アカデミア,アカデミア
Academy,アカデミー
赤鶏冠,アカトサカ
赤扉,アカトビラ
赤鳥居,アカトリイ
赤蜻蛉,アカトンボ
赤棗,アカナツメ
赤海鼠,アカナマコ
赤面皰,アカニキビ
赤鰊,アカニシン
茜色,アカネイロ
茜雲,アカネグモ
赤鼠,アカネズミ
茜染め,アカネゾメ
茜空,アカネゾラ
赤裸,アカハダカ
赤袴,アカバカマ
垢光り,アカビカリ
赤額,アカビタイ
赤暈,アカボカシ
赤蝮,アカマムシ
赤まんま,アカマンマ
赤み顔,アカミガオ
アカミドリ,アカミドリ
赤み肌,アカミハダ
赤蚯蚓,アカミミズ
赤眼張,アカメバル
赭ら顔,アカラガオ
アカラシア,アカラシア
灯り皿,アカリザラ
明かり展,アカリテン
明り採り,アカリトリ
明かり箱,アカリバコ
明り窓,アカリマド
明妙,アカルタエ
アカントス,アカンサス
赤ン坊,アカンボウ
アカールム,アカールム
県主,アガタヌシ
県守,アガタモリ
アガバティ,アガバティ
騰がり馬,アガリウマ
上がり下り,アガリオリ
上がり際,アガリギワ
アガリスク,アガリクス
上り口,アガリグチ
上がり高,アガリダカ
上がり段,アガリダン
上がり止め,アガリドメ
上がり端,アガリハナ
上がり幅,アガリハバ
上り端,アガリバタ
上り花,アガリバナ
アガロース,アガロース
秋茜,アキアカネ
秋袷,アキアワセ
秋浮塵子,アキウンカ
秋渇き,アキガワキ
商変わり,アキガワリ
秋曇り,アキグモリ
秋桜,アキザクラ
アキシオン,アキシオン
アキシャル,アキシャル
飽き性,アキショウ
アキソオム,アキソオム
空俵,アキダワラ
アキチカラ,アキチカラ
現つ神,アキツカミ
空き机,アキツクエ
秋津洲,アキツシマ
明き止まり,アキドマリ
商場,アキナイバ
商い女,アキナイメ
商い屋,アキナイヤ
空き畑,アキハタケ
アキヒカリ,アキヒカリ
秋日和,アキビヨリ
アキピテル,アキピテル
空袋,アキブクロ
秋祭り,アキマツリ
アキメネス,アキメネス
空屋敷,アキヤシキ
秋休み,アキヤスミ
アキュアス,アキュアス
アキュート,アキュート
飽れ顔,アキレガオ
アキレギア,アキレギア
呆れ声,アキレゴエ
阿笈摩,アギュウマ
灰汁洗い,アクアライ
悪逆,アクギャク
悪行,アクギョウ
悪臭,アクシュウ
悪性,アクショウ
action,アクション
悪獣,アクジュウ
アクセプト,アクセプト
アクセント,アクセント
芥兀,アクタコツ
悪太郎,アクタロウ
灰汁溜まり,アクダマリ
アクチオン,アクチオン
アクチニド,アクチニド
アクチニン,アクチニン
アクチビン,アクチビン
惡蟲,アクチュウ
悪鳥,アクチョウ
アクティボ,アクティボ
アクトレス,アクトレス
アクネード,アクネード
悪祓い,アクバライ
悪評,アクヒョウ
悪病,アクビョウ
アクリジン,アクリジン
アクリタイ,アクリタイ
アクリダン,アクリダン
アクリドン,アクリドン
悪龍,アクリュウ
悪霊,アクリョウ
握力,アクリョク
明くる朝,アクルアサ
明くる年,アクルトシ
アクロシン,アクロシン
アクロニム,アクロニム
胡座鍋,アグラナベ
胡座鼻,アグラバナ
揚繰網,アグリアミ
アグレカン,アグレカン
アグレジェ,アグレジェ
アグレマン,アグレマン
アグーティ,アグーティ
明烏,アケガラス
緋衣,アケゴロモ
木通籠,アケビカゴ
木通狩り,アケビガリ
木通蔓,アケビツル
曙斑,アケボノフ
明渡し,アケワタシ
揚油,アゲアブラ
揚げ御欠き,アゲオカキ
揚げ降ろし,アゲオロシ
揚げ衣,アゲコロモ
揚げ秋刀魚,アゲサンマ
揚げ卵,アゲタマゴ
上畳,アゲダタミ
揚雲雀,アゲヒバリ
揚げ浸し,アゲビタシ
上げ角髪,アゲミズラ
アゲラタム,アゲラタム
against,アゲンスト
アコウダイ,アコウダイ
アコナイト,アコナイト
アコニチン,アコニチン
アコーザル,アコーザル
顎蛙,アゴガエル
顎叩き,アゴタタキ
顎使,アゴツカイ
顎面皰,アゴニキビ
アゴニスト,アゴニスト
網子別れ,アゴワカレ
アゴーギク,アゴーギク
アゴーギグ,アゴーギグ
アサイナー,アサイナー
アサイラム,アサイラム
朝帰り,アサガエリ
朝霞,アサガスミ
朝烏,アサガラス
浅黄色,アサギイロ
朝曇り,アサグモリ
朝御飯,アサゴハン
朝櫻,アサザクラ
朝シャン,アサシャン
朝涼み,アサスズミ
アサッジョ,アサッジョ
朝っぱら,アサッパラ
麻問屋,アサドンヤ
浅縹,アサハナダ
麻畑,アサバタケ
麻袋,アサブクロ
朝ぼらけ,アサボラケ
朝未だき,アサマダキ
浅緑,アサミドリ
浅蜊売り,アサリウリ
浅蜊缶,アサリカン
浅蜊汁,アサリジル
浅蜊豆,アサリマメ
アサーラト,アサーラト
薊馬,アザミウマ
薊かげ,アザミカゲ
足洗い,アシアライ
アシェット,アシェット
アシエンダ,アシエンダ
足飾り,アシカザリ
足掛り,アシガカリ
足固め,アシガタメ
足搦み,アシガラミ
足代わり,アシガワリ
足応え,アシゴタエ
足探り,アシサグリ
足捌き,アシサバキ
足触り,アシザワリ
足順,アシジュン
足揃え,アシゾロエ
足溜り,アシダマリ
足遣い,アシヅカイ
葦作り,アシヅクリ
アシナジー,アシナジー
アシナマリ,アシナマリ
足馴らし,アシナラシ
足運び,アシハコビ
悪祓え,アシハラエ
足払い,アシバライ
足任せ,アシマカセ
足枕,アシマクラ
足廻り,アシマワリ
足休め,アシヤスメ
アシュタミ,アシュタミ
アシュベル,アシュベル
アーシュラム,アシュラム
ア首連,アシュレン
アジイワシ,アジイワシ
味移り,アジウツリ
アジウムド,アジウムド
Agenda,アジェンダ
アジタート,アジタート
味創り,アジヅクリ
アジテート,アジテート
味所,アジドコロ
アジペート,アジペート
味巡り,アジメグリ
アジャスト,アジャスト
アジヤマン,アジヤマン
アジュダン,アジュダン
アジュモニ,アジュモニ
アジュンマ,アジュンマ
アヅィルート,アジルート
網代綴じ,アジロトジ
明日辺り,アスアタリ
アスゾール,アスゾール
アスタクス,アスタクス
アスタチン,アスタチン
アスチルベ,アスチルベ
アステリア,アステリア
アステリナ,アステリナ
アストラル,アストラル
アストロン,アストロン
ASPAC,アスパック
アスパルト,アスパルト
アスピック,アスピック
アスピリン,アスピリン
アスピーテ,アスピーテ
アスベスト,アスベスト
aspect,アスペクト
アスリート,アスリート
ASROC,アスロック
預り地,アズカリチ
小豆餡,アズキアン
小豆入り,アズキイリ
小豆色,アズキイロ
小豆缶,アズキカン
小豆粥,アズキガユ
小豆粒,アズキツブ
小豆梨,アズキナシ
小豆婆,アズキババ
預入れ,アズケイレ
預け替え,アズケカエ
預替え,アズケガエ
預け先,アズケサキ
預人,アズケニン
預け主,アズケヌシ
預鉢,アズケバチ
預け物,アズケモノ
集真藍,アズサアイ
梓巫女,アズサミコ
梓弓,アズサユミ
アズテック,アズテック
東歌,アズマウタ
東菊,アズマギク
東琴,アズマゴト
東笹,アズマザサ
東杉,アズマスギ
東道,アズマミチ
アズライト,アズライト
アセタール,アセタール
アセチレン,アセチレン
アセッサー,アセッサー
アセテート,アセテート
アセトキシ,アセトキシ
アセトニド,アセトニド
アセナリン,アセナリン
アセニアム,アセニアム
汗塗れ,アセマミレ
汗みずく,アセミズク
汗みどろ,アセミドロ
アッセンブル,アセンブル
綜返し,アゼカエシ
畔蓆,アゼムシロ
アゼライン,アゼライン
遊び色,アソビイロ
遊び歌,アソビウタ
遊び癖,アソビグセ
遊び声,アソビゴエ
遊び事,アソビゴト
遊駒,アソビゴマ
遊び酒,アソビザケ
遊び好き,アソビズキ
遊び食べ,アソビタベ
遊び庭,アソビニワ
遊び人,アソビニン
遊び部屋,アソビベヤ
遊び物,アソビモノ
遊び役,アソビヤク
アソールト,アソールト
アゾシニル,アゾシニル
アゾセミド,アゾセミド
値別,アタイベツ
温か味,アタタカミ
温まり,アタタマリ
アタッカーズ,アタッカー
アタッシュ,アタッシュ
頭打ち,アタマウチ
頭数,アタマカズ
頭株,アタマカブ
頭側,アタマガワ
頭金,アタマキン
頭越し,アタマゴシ
頭頃,アタマゴロ
頭高,アタマダカ
頭出し,アタマダシ
頭壺,アタマツボ
頭撥ね,アタマハネ
頭襠,アタママチ
頭虫,アタマムシ
頭割り,アタマワリ
新しみ,アタラシミ
Utterance,アタランス
当たり籤,アタリクジ
当たり券,アタリケン
当り年,アタリドシ
当り箱,アタリバコ
当り鉢,アタリバチ
当り番,アタリバン
当たり負け,アタリマケ
当り役,アタリヤク
徒心,アダゴコロ
徒桜,アダザクラ
アダックス,アダックス
徒情け,アダナサケ
アダパレン,アダパレン
アダプター,アダプター
アダプチン,アダプチン
アダラート,アダラート
アダージョ,アダージョ
アチャラカ,アチャラカ
アチャール,アチャール
アチュート,アチュート
アチョーテ,アチョーテ
彼方側,アチラガワ
彼方持ち,アチラモチ
アッサウラ,アッサウラ
圧縮,アッシュク
圧勝,アッショウ
圧着,アッチャク
アッパッパ,アッパッパ
アプリケ,アップリケ
厚削り,アツケズリ
厚氷,アツゴオリ
圧条,アツジョウ
厚作り,アツヅクリ
圧入,アツニュウ
熱奴,アツヤッコ
圧力,アツリョク
当て擦り,アテコスリ
充て職,アテショク
当て違い,アテチガイ
アテトーゼ,アテトーゼ
充所,アテドコロ
当て外れ,アテハズレ
アテローム,アテローム
アディオス,アディオス
アディクト,アディクト
艶姿,アデスガタ
アデスタン,アデスタン
