十字路,ジュウジロ
下屋敷,シモヤシキ
教壇,キョウダン
宿舎,シュクシャ
現実化,ゲンジツカ
玄武岩,ゲンブガン
みどりの日,ミドリノヒ
触覚,ショッカク
薬指,クスリユビ
上段,ジョウダン
短編み,ミジカアミ
専門語,センモンゴ
フィクサー,フィクサー
論調,ロンチョウ
急増,キュウゾウ
水たまり,ミズタマリ
静物画,セイブツガ
アルミなべ,アルミナベ
目出し帽,メダシボウ
拒否権,キョヒケン
下っ腹,シタッパラ
泣きどころ,ナキドコロ
寮生,リョウセイ
落城,ラクジョウ
墜落死,ツイラクシ
病因,ビョウイン
外国語,ガイコクゴ
昇任,ショウニン
後ろ指,ウシロユビ
城郭,ジョウカク
心理劇,シンリゲキ
没入,ボツニュウ
笑い事,ワライゴト
行列,ギョウレツ
島流し,シマナガシ
就任,シュウニン
起震車,キシンシャ
巡行,ジュンコウ
巡拝,ジュンパイ
観賞,カンショウ
卓球,タッキュウ
入棺,ニュウカン
年中,ネンジュウ
レクチャー,レクチャー
粗大ごみ,ソダイゴミ
ひな祭り,ヒナマツリ
開城,カイジョウ
神経科,シンケイカ
ディズニー,ディズニー
悪巧み,ワルダクミ
最長,サイチョウ
苦労人,クロウニン
上洛,ジョウラク
流動,リュウドウ
片頭痛,ヘンズツウ
火成岩,カセイガン
シルエット,シルエット
権力,ケンリョク
難症,ナンショウ
新知識,シンチシキ
砂糖水,サトウミズ
猛牛,モウギュウ
エンドレス,エンドレス
ファゴット,ファゴット
俸給,ホウキュウ
長石,チョウセキ
剽窃,ヒョウセツ
サバイバル,サバイバル
プリンセス,プリンセス
山脈,サンミャク
引き続き,ヒキツヅキ
舞台裏,ブタイウラ
都落ち,ミヤコオチ
集約,シュウヤク
町会,チョウカイ
絵巻物,エマキモノ
有理数,ユウリスウ
乳鉢,ニュウバチ
五月晴れ,サツキバレ
電話線,デンワセン
調剤,チョウザイ
寸評,スンピョウ
焼亡,ショウボウ
着想,チャクソウ
盛り上がり,モリアガリ
書き言葉,カキコトバ
地震計,ジシンケイ
情勢,ジョウセイ
音響,オンキョウ
標識,ヒョウシキ
胸壁,キョウヘキ
米俵,コメダワラ
剣道着,ケンドウギ
粉薬,コナグスリ
スキューバ,スキューバ
紙包み,カミヅツミ
起訴状,キソジョウ
ヒアシンス,ヒアシンス
陸橋,リッキョウ
特長,トクチョウ
南中,ナンチュウ
天上,テンジョウ
閉庁,ヘイチョウ
和食器,ワショッキ
走査線,ソウサセン
腕力,ワンリョク
サファイア,サファイア
療友,リョウユウ
武勇伝,ブユウデン
護衛艦,ゴエイカン
充用,ジュウヨウ
浸潤,シンジュン
口供,コウキョウ
凍傷,トウショウ
腸詰め,チョウヅメ
絵かき歌,エカキウタ
雪舟,セッシュウ
泣き寝入り,ナキネイリ
合理性,ゴウリセイ
一夜漬け,イチヤヅケ
上げ下ろし,アゲオロシ
横倒し,ヨコダオシ
強圧,キョウアツ
筐体,キョウタイ
ローション,ローション
入牢,ニュウロウ
探究,タンキュウ
蜃気楼,シンキロウ
鍼灸,シンキュウ
囲い者,カコイモノ
狂人,キョウジン
尾長猿,オナガザル
展示会,テンジカイ
散歩道,サンポミチ
享年,キョウネン
ワンルーム,ワンルーム
養親子,ヨウシンシ
長短,チョウタン
ピーナッツ,ピーナッツ
食紅,ショクベニ
賞賛,ショウサン
無配当,ムハイトウ
良俗,リョウゾク
わさび漬け,ワサビヅケ
嬌態,キョウタイ
レジスター,レジスター
放ち書き,ハナチガキ
泥状,ドロジョウ
略論,リャクロン
来年度,ライネンド
戦闘機,セントウキ
聴取,チョウシュ
中農,チュウノウ
弱点,ジャクテン
ｐＨ,ピーエイチ
上世,ジョウセイ
原票,ゲンピョウ
アジア象,アジアゾウ
過半数,カハンスウ
質量,シツリョウ
ハンチング,ハンチング
悪評,アクヒョウ
暗色,アンショク
多国籍,タコクセキ
引き出物,ヒキデモノ
エピソード,エピソード
不寝番,フシンバン
立ち泳ぎ,タチオヨギ
神無月,カンナヅキ
行監,ギョウカン
偏頭痛,ヘンズツウ
祝宴,シュクエン
トレーナー,トレーナー
食膳,ショクゼン
非国民,ヒコクミン
顰蹙,ヒンシュク
バーディー,バーディー
ベルベット,ベルベット
カンボジア,カンボジア
辺境,ヘンキョウ
仕様書,シヨウショ
富士額,フジビタイ
利口者,リコウモノ
元凶,ゲンキョウ
使い道,ツカイミチ
オブラート,オブラート
門構え,モンガマエ
跳ね返り,ハネカエリ
角柱,カクチュウ
もらい物,モライモノ
冷床,レイショウ
竜田揚げ,タツタアゲ
才力,サイリョク
勇み足,イサミアシ
海坊主,ウミボウズ
タキシード,タキシード
先払い,サキバライ
上腕,ジョウワン
絶対値,ゼッタイチ
ストリング,ストリング
上包み,ウワヅツミ
胸底,キョウテイ
虫垂,チュウスイ
過去分詞,カコブンシ
容量,ヨウリョウ
フォワード,フォワード
三部作,サンブサク
獣害,ジュウガイ
スピリット,スピリット
懲戒,チョウカイ
緩衝,カンショウ
未亡人,ミボウジン
長征,チョウセイ
前払い,マエバライ
休園,キュウエン
インプット,インプット
正体,ショウタイ
直感,チョッカン
大掃除,オオソウジ
被災者,ヒサイシャ
寒気団,カンキダン
肥満体,ヒマンタイ
絵空事,エソラゴト
国情,コクジョウ
諸費用,ショヒヨウ
金時計,キンドケイ
頭越し,アタマゴシ
入射,ニュウシャ
糾合,キュウゴウ
掛かり合い,カカリアイ
機関砲,キカンホウ
宿継ぎ,シュクツギ
信頼度,シンライド
新生児,シンセイジ
やせ我慢,ヤセガマン
伯仲,ハクチュウ
軽重,ケイチョウ
水酸基,スイサンキ
行き帰り,ユキカエリ
競演,キョウエン
行き止まり,ユキドマリ
ポンプ車,ポンプシャ
聞き違い,キキチガイ
遺伝学,イデンガク
影法師,カゲボウシ
生食,セイショク
追悼歌,ツイトウカ
大曲,タイキョク
少欲,ショウヨク
厚情,コウジョウ
上洛,ジョウラク
ノーマーク,ノーマーク
直径,チョッケイ
エアメール,エアメール
受賞,ジュショウ
命綱,イノチヅナ
文庫判,ブンコバン
賞用,ショウヨウ
艇長,テイチョウ
害虫,ガイチュウ
急送,キュウソウ
直前,チョクゼン
流星,リュウセイ
マスカット,マスカット
ネグリジェ,ネグリジェ
戦局,センキョク
お蔵入り,オクライリ
キーボード,キーボード
定席,ジョウセキ
リカバリー,リカバリー
簡体字,カンタイジ
享受,キョウジュ
総評,ソウヒョウ
副鼻腔,フクビクウ
容疑者,ヨウギシャ
微生物,ビセイブツ
戦略,センリャク
兵力,ヘイリョク
宿命,シュクメイ
すす払い,ススハライ
戦死者,センシシャ
けんか腰,ケンカゴシ
ひざ頭,ヒザガシラ
参着,サンチャク
才力,サイリョク
著述,チョジュツ
強行,キョウコウ
贈与税,ゾウヨゼイ
同業,ドウギョウ
出典,シュッテン
才色,サイショク
修学,シュウガク
自由律,ジユウリツ
多項式,タコウシキ
入院,ニュウイン
下手投げ,シタテナゲ
生乾き,ナマガワキ
迫力,ハクリョク
ボブスレー,ボブスレー
お召し替え,オメシカエ
表口,オモテグチ
繁体字,ハンタイジ
迷信家,メイシンカ
恩知らず,オンシラズ
入り口,ハイリグチ
寸詰まり,スンヅマリ
最少,サイショウ
肩たたき,カタタタキ
冗談,ジョウダン
室料,シツリョウ
重宝,チョウホウ
磁気テープ,ジキテープ
競泳,キョウエイ
尾てい骨,ビテイコツ
大人数,オオニンズ
重態,ジュウタイ
流れ雲,ナガレグモ
エンブレム,エンブレム
卒中,ソッチュウ
港町,ミナトマチ
原状,ゲンジョウ
合掌,ガッショウ
プログラム,プログラム
応酬,オウシュウ
弱年,ジャクネン
好局,コウキョク
オルゴール,オルゴール
執行部,シッコウブ
追求,ツイキュウ
不活発,フカッパツ
出来具合,デキグアイ
サイン会,サインカイ
ダイオード,ダイオード
長短,チョウタン
聞き納め,キキオサメ
雪煙,ユキケムリ
噴出,フンシュツ
千両,センリョウ
境遇,キョウグウ
麦畑,ムギバタケ
引き伸ばし,ヒキノバシ
お母さん,オカアサン
弱冠,ジャッカン
上手投げ,ウワテナゲ
静粛,セイシュク
短母音,タンボイン
商会,ショウカイ
本会議,ホンカイギ
菩提樹,ボダイジュ
勝算,ショウサン
社中,シャチュウ
両輪,リョウリン
削岩機,サクガンキ
掛けうどん,カケウドン
入り浸り,イリビタリ
いじめっ子,イジメッコ
同色,ドウショク
オムニバス,オムニバス
朝寝坊,アサネボウ
ペニシリン,ペニシリン
懲役,チョウエキ
無鉄砲,ムテッポウ
ミディアム,ミディアム
栄養価,エイヨウカ
売り言葉,ウリコトバ
半ズボン,ハンズボン
衣替え,コロモガエ
増長,ゾウチョウ
小官,ショウカン
トライアル,トライアル
正中,セイチュウ
当直,トウチョク
秀逸,シュウイツ
フレーバー,フレーバー
出車,シュッシャ
勤め口,ツトメグチ
都落ち,ミヤコオチ
幼妻,オサナヅマ
市民権,シミンケン
救荒,キュウコウ
痛ましさ,イタマシサ
コンクール,コンクール
剛球・豪球,ゴウキュウ
木版画,モクハンガ
在庫品,ザイコヒン
レインボー,レインボー
心太,トコロテン
臭み抜き,クサミヌキ
浸り切り,ヒタリキリ
一まとめ,ヒトマトメ
首根っこ,クビネッコ
洋弓,ヨウキュウ
粉砂糖,コナザトウ
天下り,アマクダリ
静聴,セイチョウ
前後ろ,マエウシロ
でくの坊,デクノボウ
半熟,ハンジュク
切り開き,キリヒラキ
表ざた,オモテザタ
求刑,キュウケイ
懐中,カイチュウ
称賛,ショウサン
親離れ,オヤバナレ
出校,シュッコウ
マーケット,マーケット
送り先,オクリサキ
退局,タイキョク
澄まし顔,スマシガオ
内陸部,ナイリクブ
不信心,フシンジン
四角形,シカクケイ
食間,ショッカン
紙一重,カミヒトエ
腹構え,ハラガマエ
調進,チョウシン
早生児,ソウセイジ
小用,ショウヨウ
巻きたばこ,マキタバコ
差し薬,サシグスリ
泣きぼくろ,ナキボクロ
大道具,オオドウグ
調法,チョウホウ
病毒,ビョウドク
短距離,タンキョリ
青光り,アオビカリ
繁殖,ハンショク
コンセント,コンセント
保菌者,ホキンシャ
不賛成,フサンセイ
チャンネル,チャンネル
天井,テンジョウ
後ろ幅,ウシロハバ
力ずく,チカラズク
用務員,ヨウムイン
着帯,チャクタイ
フェレット,フェレット
古生物,コセイブツ
奉仕品,ホウシヒン
不条理,フジョウリ
中東,チュウトウ
皮下組織,ヒカソシキ
創世記,ソウセイキ
上顎,ジョウガク
綿ぼこり,ワタボコリ
息遣い,イキヅカイ
幸運児,コウウンジ
週間,シュウカン
見えっ張り,ミエッパリ
評判,ヒョウバン
料亭,リョウテイ
ポータブル,ポータブル
アルマイト,アルマイト
湾入,ワンニュウ
入党,ニュウトウ
ファクター,ファクター
曹長,ソウチョウ
中国,チュウゴク
ぶどう狩り,ブドウガリ
無菌室,ムキンシツ
アドバイス,アドバイス
ワイヤレス,ワイヤレス
緑林,リョクリン
学食,ガクショク
色女,イロオンナ
代将,ダイショウ
繁盛,ハンジョウ
福笑い,フクワライ
行き詰まり,イキヅマリ
スクロース,スクロース
丸太小屋,マルタゴヤ
丁寧語,テイネイゴ
近着,キンチャク
二枚舌,ニマイジタ
住居,ジュウキョ
快勝,カイショウ
乱脈,ランミャク
収納,シュウノウ
最頻値,サイヒンチ
ブティック,ブティック
吹聴,フイチョウ
全国区,ゼンコック
