,1,2,3,4,5,6,7,8,9,10,X
16,2,18,80,162,246,202,246,236,211,234,472
17,1,1,9,23,59,103,161,190,241,287,299
18,0,7,17,53,121,159,174,243,273,281,568
19,3,8,52,117,188,205,213,229,223,226,183
20,2,114,346,443,466,317,220,165,98,78,41
21,0,4,35,97,191,254,264,256,212,248,517
22,1,8,38,109,188,240,287,259,243,192,194
23,31,113,232,337,337,354,300,237,191,179,113
24,6,16,67,173,255,302,316,281,271,228,120
25,0,4,50,88,152,205,248,281,271,281,798
26,4,14,88,205,380,412,380,311,251,222,197
27,0,15,64,148,285,395,367,356,313,285,333
28,0,2,46,136,211,258,324,326,324,328,392
29,2,8,51,117,175,255,281,326,357,323,321
30,14,111,248,341,442,433,380,318,282,213,162
31,5,55,225,515,571,486,351,278,213,146,76
32,8,45,164,304,433,393,347,328,282,234,150
33,0,29,189,438,538,512,405,334,225,186,100
34,3,50,210,411,544,522,443,336,229,194,194
35,3,60,157,232,359,429,420,426,341,248,344
36,3,16,71,142,294,405,482,479,421,379,544
37,3,133,293,575,712,627,478,360,248,170,107
38,2,5,29,129,259,389,454,477,451,377,371
39,3,24,100,255,390,508,480,483,390,362,459
40,3,23,278,498,566,512,448,366,271,203,224
41,6,6,16,62,116,216,290,318,309,200,783
42,7,45,171,266,336,361,368,301,220,105,1325
43,6,60,246,453,581,559,453,313,233,105,182
44,21,178,377,582,602,516,432,323,222,141,817
45,32,27,98,303,477,638,610,570,475,342,469
46,80,81,463,1260,2175,2548,2566,2021,1655,1078,1263
47,84,73,232,552,1030,1515,1835,2002,2112,1828,3711
48,57,89,345,707,1072,1268,1231,1155,1092,811,1266
